method,mode,nulls,rmse,test_size,time,test_size_p
SVD,A,0.2,2.447148939461468,194,0.008238792419433594,0.3
classic,A,0.2,39291816276.040054,259,0.019257545471191406,0.4
word2vec,A,0.2,2.52413345661395,259,0.015272378921508789,0.4
SVD,A,0.2,2.5206204641932515,259,0.0030591487884521484,0.4
classic,A,0.2,36064231483.68948,324,0.0075495243072509766,0.5
word2vec,A,0.2,2.5932746232366157,324,0.005489826202392578,0.5
SVD,A,0.2,2.576545156596979,324,0.020421266555786133,0.5
classic,A,0.2,1.506211757150381,389,0.028735876083374023,0.6
word2vec,A,0.2,2.4971216232007927,389,0.0028209686279296875,0.6
SVD,A,0.2,2.4833218198885065,389,0.002578258514404297,0.6
classic,A,0.2,1.4781429227203575,454,0.012453317642211914,0.7
word2vec,A,0.2,2.883814368020464,454,0.017696857452392578,0.7
SVD,A,0.2,2.770078634101861,454,0.003342866897583008,0.7
classic,A,0.2,1.6886943383692448,519,0.015935659408569336,0.8
word2vec,A,0.2,2.8498250014046453,519,0.008120298385620117,0.8
SVD,A,0.2,2.7027646194725277,519,0.005163669586181641,0.8
classic,A,0.2,3.839739609537569,584,0.023524045944213867,0.9
word2vec,A,0.2,3.4050590851366183,584,0.05347323417663574,0.9
SVD,A,0.2,3.6953061077648393,584,0.002460002899169922,0.9
classic,A,0.1,54961634678.664734,64,0.007982969284057617,0.1
word2vec,A,0.1,2.0446664337399265,64,0.02900075912475586,0.1
